,Dao_title,categories,about,simdaos,chain
524,DAOHQ - Request  DAO,"['DAO Tools', 'DeFi']","Ethereum-based decentralized payment system
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '66.7K']"
525,DAOHQ - thugDAO,['Collector'],"A collection of 3,333 uniquely generated, tough and collectible thugbirdz.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Solana', '16.3K']"
526,DAOHQ - NFT Oasis  DAO,"['Social', 'Metaverse', 'Protocol']","Immersive VR experience for the NFT community
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '3.2K']"
527,DAOHQ - ApeRocket DAO,['DeFi'],"Ape Rocket is the new deflationary token on the Binance Smart Chain
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Binance', '12.1K']"
528,DAOHQ - LootMetaverseDAO,['Metaverse'],"Building an ever-expanding Loot Metaverse
","['Bears Deluxe', 'BreederDAO', 'Adventure Gold', 'CabinDao']","['Ethereum', '1.8K']"
529,DAOHQ - Yam DAO,"['DeFi', 'Grant']","Only delegated YAM may be used to vote on proposals. You can delegate to yourself or another address here: yam.finance/#/delegate
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['8.6K']
530,DAOHQ - Cthulhu Armageddon 2022 DAO,"[' 2.xyz Discord  Twitter ', ' 2.xyz', ' Discord ', ' Twitter ']","Cthulhu Armageddon 2022 is a community driven NFT RPG. Save or Sacrifice?
",[],['9.0K']
531,DAOHQ - Cryptex DAO,['Protocol'],"The Protocol Powering The World’s First Total Crypto Market Cap Token, TCAP.
 Cryptex is a crypto token pegged to the total market cap of all crypto tokens and coins as sourced by its oracles. Its user-pooled collaterals farm yield while pegging. Currently in Beta.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '14.0K']"
532,DAOHQ - Paragons DAO,"[' paragonsdao.com', ' paragonsdao.com']","An economic and social partner-DAO promising blockchain-powered gaming ecosystems.
",[],[]
533,DAOHQ - KERNEL DAO,['Social'],"Peer-to-peer learning community dedicated to the journey towards a better understanding of truth: in our work, in our relationships with others, and in our inner worlds
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '13.9K']"
534,DAOHQ - Own.fund DAO,"['DAO Tools', 'Investment']","Own.fund is a collectively-managed investment vehicle aiming to facilitate community-token DAOs. Set to become an incubator & main resource for Web3 BUIDLerss, its KYC membership includes prominent investment, DeFi, gaming and other ecosystem play…
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '639.0']"
535,DAOHQ - CabinDao,"['Media', 'Social', 'Metaverse']","Community of cabins for web3 workers; a DAO retreat & residency program; an experiment in decentralized cities
","['Bears Deluxe', 'CabinDao', 'Ape Poo Club', 'Bankless DAO']","['Ethereum', '14.8K']"
536,DAOHQ - Token Engineering Commons DAO,"['Protocol', 'Social']","An open source and collectively governed project that aims to create a token economy to accelerate the Token Engineering field through responsible & ethical creation of public goods for the TE community
","['Aave', 'ARCx', 'APWine', 'API3']","['Binance', '5.1K']"
537,DAOHQ - SpookySwap DAO,['DeFi'],"An automated market-making (AMM) decentralized exchange (DEX) for the Fantom Opera network
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '130.7K']"
538,DAOHQ - Venus DAO,['DeFi'],"Earn, Borrow, & Lend on the #1 Decentralized Money Market on  @BNBChain
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['Binance']
539,DAOHQ - Offchain Labs DAO,['DAO Tools'],"Make smart contracts easier to develop at massive scale, with production level security
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '271.3K']"
540,DAOHQ - hDao,"['DeFi', 'DAO Tools']","Governance token for the extremely popular NFT marketplace, Hic et nunc
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Bitcoin', '3.2K']"
541,DAOHQ - Miami Tech Runs DAO,['0xa2ec6...22458'],"Building the ultimate playground at the intersection of sports, crypto, and culture.
 
Tech Runs is a global collective with a shared vision to bring health and wellness on chain by building the ultimate playground at the intersection of sports and culture. Our community believes in using these sports and cultural experiences to unify the masses, and make sure that underrepresented communities are not being left behind. We believe that our diversity is our biggest strength, and we strive to leverage our unique perspectives to relentlessly push boundaries. 


Our shared belief system is what unifies our community, which consists of athletes, artists, musicians, founders, investors, and creatives. It is in the Tech Runs DNA to marry profits with purpose, and Web3 is our means to achieve this shared goal. Our connective tissue is strengthened each time we invest in each other, push each other, and grow alongside each other. Competitive on the court, collaborative off the court. Every win is unified. 

",[],['Ethereum']
542,DAOHQ - Varen DAO,"['DeFi', 'Service']","Varen - formerly YF LINK - is a DeFi swap DEX integrated with Ren bridges so as to bring assets from multiple blockchains onto Ethereum protocol trade.\n
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '14.5K']"
543,DAOHQ - Saber DAO,['DeFi'],"Protocol enabling seamless cross-chain liquidity exchange
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '83.9K']"
544,DAOHQ - BlockApeScissors DAO,['0x8ddee...62ebc'],"Block Ape Scissors is a WEB3 Blockchain Gaming ecosystem and Metaverse that integrates revolutionary and unique NFTs as transferable in-game assets.
",[],['11.9K']
545,DAOHQ - Crypto Investor Agency DAO,"[' www.cryptoinvestor.ca Twitter ', ' www.cryptoinvestor.ca', ' Twitter ']","Crypto Investor Agency is a decentralized financial payment network that rebuilds the traditional payment stack on the blockchain. It utilizes stablecoins.
",[],[]
546,DAOHQ - GravityFinance DAO,['DeFi'],"Trade, Earn Yield and join some of the most exciting projects coming to Polygon through our Launchpad.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['4.3K']
547,DAOHQ - LostSouls DAO,"['DeFi', 'Protocol']","DAO for the ‘Lost Souls’ who are dying to contribute to DeFi
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '252.0']"
548,DAOHQ - YOLOrekt DAO,['DeFi'],"Decentralized short-term prediction exchange
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '19.3K']"
549,DAOHQ - Loot DAO,['Gaming'],"Unfiltered, uncensorable building block for stories, experiences, games, and more, in the hands of the community, at no cost
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '167.6K']"
550,DAOHQ - SamotClub DAO,"['Protocol', 'Social']","An #NFT Club that introduces amazing Latin American artistic style.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '9.7K']"
551,DAOHQ - BetSwirl.eth DAO,['0x3e0a7...81671'],"Online cryptocurrency gaming platform, fully decentralized and anonymous, where everyone enjoys a fair play.
",[],[]
552,DAOHQ - Colony DAO,"['DeFi', 'Investment']","Community-driven avalanche ecosystem accelerator powered by Colony’s CLY token
 Colony is a community-driven accelerator, evolving into an inclusive DAO, designed to boost Avalanche’s ecosystem growth, while returning value to CLY token holders
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['Avalanche']
553,DAOHQ - HOPR  DAO,"['DAO Tools', 'Protocol']","A privacy-networking protocol able to communicate and transfer messages securely
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '29.9K']"
554,DAOHQ - Hinata DAO,"['Social', 'Protocol']","The first anime NFT DAO
 The world’s first Web 3.0 e-commerce hub fueled by a Decentralized Autonomous Organization (DAO). The Hinata DAO has been established to support quality content creators and incubate a platform suited for the future of collectibles, metaverse tokenization and blockchain gaming. Everyone is invited to join our mission as a member and participate in Hinata governance and development.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Solana', '25.1K']"
555,DAOHQ - Antidote DAO,['Social Impact'],"AntidoteDAO is an Altruistic Web3 DAO Dedicated to Funding Various Cancer Initiatives
 In traditional business models, companies are highly centralized and investors have little say in the future of those organizations. Typical charities also have high overhead costs and don’t allow you to decide what your money is funding. As Antidote moves to a DAO (Decentralized Autonomous Organization) framework, investors will have equal governance in how we operate and what we fund. We will begin with a more centralized structure and become gradually more decentralized over time. DAOs are not only companies but also communities. A higher level of collaboration and communication can be achieved through blockchain technology. We have the capability to be more successful and have a larger impact in the cancer research space than any traditional charity. Our goal isn’t to fund other nonprofits, but we’ll find them strategically to raise awareness of what we’re doing. Our ultimate goal is to seed fund new research that doesn’t have the funding opportunities elsewhere
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']","['Ethereum', '2.3K']"
556,DAOHQ - Hifi Finance DAO,['DeFi'],"Hifi is a fixed-rate, fixed-term lending protocol.
 The Hifi Ecosystem is a collection of exciting new projects and partnerships that build upon and integrate into Hifi’s lending protocol. The ecosystem enables us to accelerate our rate of experimentation and represents new opportunities to expand our reach. The ecosystem has the single objective of driving usage, TVL, and new users to our lending protocol.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['Polygon']
557,DAOHQ - NEAR DAO,['Protocol'],"Decentralized application (dApp) platform and Ethereum competitor
","['Aave', 'ARCx', 'APWine', 'API3']","['Binance', '802.7K']"
558,DAOHQ - Gyroscope Protocol DAO,['0x70c44...b7383'],"Setting the bar for digital currency. Reinventing stablecoin architecture and risk control.
",[],[]
559,DAOHQ - Arca DAO,['Protocol'],"Arca DAO’s community is developing and expanding the Arweave ecosystem, project and network.
","['Aave', 'ARCx', 'APWine', 'API3']","['Binance', '103.0']"
560,DAOHQ - DopeDAO,['Gaming'],"The Dope Wars community is producing one of the first play-to-earn crypto games on the Ethereum, Optimism, and StarkNet blockchains, inspired by the classic TI-83 game we played instead of doing math homework
 Our DAO is the governing body that controls the direction of Dope Wars’ development. Official Dope Wars Projects must be blessed by the DAO to be included in our world. Generally, this means that a Proposal is drafted by an NFT holder. Other holders discuss, then vote on the said-Proposal according to a set of rules, and then finally actions are taken as an outcome of the process.
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '7.8K']"
561,DAOHQ - DeFiLand DAO,['Gaming'],"Multi-chain agriculture simulation web-game created to gamify decentralized finance
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Solana', '201.0K']"
562,DAOHQ - Magic Internet 🧙🏼‍♂️ DAO,"['DeFi', 'Investment']","A spell book that allows users to produce magic internet money ($MIM) – a stable coin that users can swap for any other traditional stable coin
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '121.9K']"
563,DAOHQ - Maple Finance DAO,"['DAO Tools', 'DeFi', 'Social', 'Venture Capital']","Institutional capital marketplace powered by blockchain technology
","['88mph', 'APY Vision', '0x', '1inch Network']","['Solana', '27.3K']"
564,DAOHQ - DogeDAO,"['Social', 'DeFi']","Doge Dao is very giving and is designed to reward long term holders. Community is first and foremost. Doge Dao is proud to provide transparency and fairness to the community. $DDOGE is a decentralized crypto network that is earned, owned and governed by the community from the outset
","['1Hive', '8DAO', '4k', 'ACryptoS']",[]
565,DAOHQ - Euphoria DAO,"[' euphoria.money Discord  Twitter ', ' euphoria.money', ' Discord ', ' Twitter ']","A multi-product DeFi cross-chain protocol.
",[],[]
566,DAOHQ - Filecoin Foundation DAO,"['Social', 'Protocol']","Independent organization that facilitates governance of the Filecoin network and supports the growth of the Filecoin ecosystem and the decentralized web
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '48.8K']"
567,DAOHQ - MaskedDAO👺 DAO,"['Collector', 'Investment', 'DeFi', 'Venture Capital', 'Social Impact', 'Media', 'Metaverse']","Push forward the idea of investing in NFT’s as valuable assets by implementing groundbreaking ideas using them
 MaskedDAO is a web3 organization whose purpose is to push forward the idea of investing in NFTs as valuable assets by executing groundbreaking concepts while at the same time sharing the revenue of these concepts to the MaskedDAO members through the NFT they hold.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Polygon', '667.0']"
568,DAOHQ - SharkDAO,['Investment'],"Pooled capital to buy noun NFT’s
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Ethereum', '12.7K']"
569,DAOHQ - Grape DAO,['Social'],"Guarantee the success of Grape by harnessing and coordinating the incredible power of our community’s effort, ability, and potential.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Solana', '29.0K']"
570,DAOHQ - Copper DAO,"['DAO Tools', 'Service']","Digital asset infrastructure developed in partnership with pioneering institutions
","['88mph', 'APY Vision', '0x', '1inch Network']",['10.1K']
571,DAOHQ - LinksDAO,['Social'],"LinksDAO is creating the modern golf & leisure club. A global community of thousands of enthusiasts has come together to create one of the world’s greatest golf clubs - and reimagine the country club.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '55.1K']"
572,DAOHQ - Flower Dao,['Social'],"DAO buying flower-related NFTs
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '486.0']"
573,DAOHQ - Juicebox Protocol DAO,"['Protocol', 'Social']","Programmable treasury for community-owned Ethereum projects
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '29.3K']"
574,DAOHQ - Moloch DAO,"[' molochdao.com Discord  Twitter  Whitepaper ', ' molochdao.com', ' Discord ', ' Twitter ', ' Whitepaper ']","MolochDAO is focused on funding Ethereum development in the name of Moloch, the God of Coordination.
 MolochDAO is a Decentralized Autonomous Organization, deployed on Ethereum mainnet. Members contribute capital with the sole intention of giving it all away to fund Ethereum infrastructure as an essential digital public good.
",[],"['Ethereum', '13.1K']"
575,DAOHQ - 1Hive DAO,['Social'],"DAO that issues and distributes a digital currency called Honey
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Gnosis', '17.1K']"
576,DAOHQ - DAOSquare DAO,['Investment'],"Youth Explore Web3
 We believe in DAO because it leads us to find those like-minded people and realise each other’s dreams together.
","['About', 'AngelDAO', '8DAO', '80Acres DAO', 'Alpha Finance Lab']","['Ethereum', '32.1K']"
577,DAOHQ - MeanFi DAO,"['Investment', 'DeFi']","A self-custody, permissionless & trustless bank bringing crypto & DeFi to everyday banking
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Solana', '81.2K']"
578,DAOHQ - DXDao,['DeFi'],"Bringing Decentralization to DeFi.
 Established in May of 2019, DXdao is a highly-scalable decentralized autonomous organization focused on developing and governing protocols and dApps in the DeFi ecosystem.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '11.6K']"
579,DAOHQ - GSR DAO,"['Service', 'Protocol', 'DeFi']","Global leader in digital asset trading and market making
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '9.3K']"
580,DAOHQ - the Cult DAO,['Collector'],"The CULT DAO (CuID) is more than a collection of curated artwork, we are a community of NFT enthusiasts in which owners can capitalize on investment opportunities across the crypto universe
 The CULT DAO (CuID) is more than a collection of curated artwork, we are a community of NFT enthusiasts in which owners can capitalize on investment opportunities across the crypto universe. Ownership of one (1) CULT DAO NFT serves as an entry ticket to the CULD Community and equates to one (1) vote in community held votes. Secondary marketplace royalties finance the DAO’s treasury, and these funds are used to invest in stringently researched NFTs, Cryptos, and metaverse assets. These opportunities, which can be presented by any owner, are reviewed and presented to the community, where CULT DAO NFT owners will decide – through voting – which projects should be bought/sold/held. Please join our discord server and see what this amazing community has to offer!
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']",['11.7K']
581,DAOHQ - Divine DAO,['Gaming'],"We’re building DivineDAO because we believe that the LOOT ecosystem needs infrastructure and community built around more effective, focused decision making that also respects the philosophies of decentralization and accessibility.
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '2.1K']"
582,DAOHQ - TOON DAO,"['Collector', 'Social']","Providing immediate utility to holders of the collection via giveaways (NFT, Merch, Toys, Prints, etc.) and funding YOUR projects from within the community to further develop the Toon Squad brand and IP
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '17.8K']"
583,DAOHQ - Universal Market Access DAO,['Protocol'],"A decentralized financial contracts platform built to enable Universal Market Access—UMA
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '88.1K']"
584,DAOHQ - DFX DAO,"['DeFi', 'Protocol']","A decentralized FX protocol optimized for stablecoins
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '12.2K']"
585,DAOHQ - Outlier Ventures DAO,"['Venture Capital', 'Investment', 'Media']","Venture platform that supports the development and growth of emerging technologies
","['Audacity Fund', 'ForceDAO', 'Carib DAO', 'BuidlersTribe']","['Ethereum', '30.8K']"
586,DAOHQ - Marginswap DAO,"['DeFi', 'DAO Tools']","On-chain spot and margin trading protocol for crypto assets
 Marginswap is a decentralized trading protocol that natively supports spot and cross margin swapping of assets on AMMs like Uniswap and SushiSwap. Using marginswap, you can trade a wide variety of tokens, much like you already do on existing protocols, but with leverage.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']",['953.0']
587,DAOHQ - Lend Flare DAO,['DeFi'],"Lend Flare allows $CRV investors to borrow against $CrvLP with a fixed borrow rate and no concern for liquidation due to price fluctuation
 Lend Flare is a decentralized borrowing platform on Ethereum blockchain that allows Curve LP holders (the borrowers) to draw fixed-rate, fixed term and high LTV loans against Curve LP tokens used as collaterals, with no concerns for assets being liquidated due to price fluctuation. Loans are paid out through Lend Flare from Compound platform. Liquidity providers (the lenders) who deposit loan liquidity through Lendflare on Compound platform will receive one of the highest interest rate compared to other current lending platforms.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '3.3K']"
588,DAOHQ - Hashflow DAO,['DeFi'],"Decentralized settlement layer built on Ethereum to enable the development of the next generation of hybrid exchanges
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '182.7K']"
589,DAOHQ - UNION Finance DAO,['DeFi'],"UNION is the cornerstone of full-stack protection, reducing the risks and costs of DeFi.
 UNION Finance is a non-KYC peer-to-peer permissionless protection marketplace that allows users to limit their risk in an active DeFi strategy. Users can either Buy Protection from downside risk/event risk, or Fund Liquidity to collect premiums. UNION’s state-of-the-art protocol has capabilities to secure multi-layer risks across smart contracts and protocols in one scalable system.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '4.4K']"
590,DAOHQ - STAKEhaus DAO,['Protocol'],"STAKEhaus governs STAKE - the validator token for the xDai blockchain, which became the Gnosis Beacon Chain.
 STAKEhaus is a DAO by and for the xDAI community. Contributors earn STAKE and STAKErs can contribute.
","['Aave', 'ARCx', 'APWine', 'API3']","['Gnosis', '55.8K']"
591,DAOHQ - Harvest Finance DAO,"['DeFi', 'Investment']","An international cooperative of humble farmers pooling resources together in order to earn DeFi yields
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Binance', '80.9K']"
592,DAOHQ - Universe DAO,"['Collector', 'Gaming', 'Social', 'Media']","The native governance token that controls the xyzDAO and the Universe Protocol
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '30.4K']"
593,DAOHQ - Polar Nodes DAO,['0x6c1c0...87db4'],"Our mission is to make you collect NFTs nodes which will provide you with Games Rewards. The first fully decentralized node protocol to become.
",[],['12.1K']
594,DAOHQ - 80Acres DAO,"['DeFi', 'Investment', 'Service']","Build ideas of the blockchain on real land
 80Acres is a token created on the Algorand Blockchain. As a DAO token, we are able to harness the creativity and collected resources of the community to build something real on 80 acres of land located in Oklahoma. Through voting, these ideas are brought into the implementing stage and funding stage. The profits generated from the projects are shared to the token holders.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']",[]
595,DAOHQ - Moonbeam DAO,['Protocol'],"Ethereum-compatible smart contracts on a Polkadot parachain
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '353.0K']"
596,DAOHQ - Guild DAO,['DAO Tools'],"No code tool for token-gated Discord
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '37.4K']"
597,DAOHQ - Gearbox DAO,"['Investment', 'DeFi']","Gearbox Protocol allows anyone to get leverage in a decentralized way and use it across various other protocols in a composable way: margin trading, leverage farming, and more!
 Unique features of Gearbox Protocol
Other protocols can offer leverage to their users with the help of Gearbox Protocol, without modifying anything in their own architecture. As such, they also get exposure to the user base of Gearbox.
Positions and trades within Credit Accounts can be extended to include complex strategies, for example, making a short position farm in Yearn; or having LP tokens as collateral for more composable actions.
The leverage offered is not based on synthetic positions but instead is executed with real assets on third-party protocols. Because Gearbox does not create its own trading pairs, there is no short-long ratio that needs to be maintained with funding rates.
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Ethereum', '14.8K']"
598,DAOHQ - REtoken DAO,"[' discord.com/invite/hu93QMMcWS Discord  Twitter ', ' discord.com/invite/hu93QMMcWS', ' Discord ', ' Twitter ']","A community 1st approach to RealEstate Tokenization
",[],"['Polygon', '697.0']"
599,DAOHQ - Stoner Cats DAO,"[' www.stonercats.com Twitter ', ' www.stonercats.com', ' Twitter ']","An adult animated short series centered on five house cats who mysteriously become sentient
",[],"['Ethereum', '33.1K']"
600,DAOHQ - SAFU.net (DAO) DAO,"['DeFi', 'Investment']","SAFU.NET aim is to bring a series of tools for the BSC ecosystem including a DEX, smart contract code scanner, liquidity lock and more.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']","['Binance', '5.0K']"
601,DAOHQ - Frog Nation DAO,"[' frognationdao.com Discord  Twitter ', ' frognationdao.com', ' Discord ', ' Twitter ']","In $FRG We Trust.
",[],[]
602,DAOHQ - ZORA DAO,"['DAO Tools', 'Protocol']","The NFT marketplace protocol
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '94.0K']"
603,DAOHQ - xDAI DAO,['DeFi'],"Stable payments blockchain designed for fast and inexpensive transactions secured by $STAKE governance tokens
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '4.7K']"
604,DAOHQ - Neustreet DAO,['Media'],"Destination for media, data, and analytics on collectibles
","['Bears Deluxe', 'CabinDao', 'Ape Poo Club', 'Bankless DAO']","['Ethereum', '1.3K']"
605,DAOHQ - Inverse DAO,['Protocol'],"The Inverse protocol makes a lending-borrowing market that leverages its pooled liquidity accross DeFi via a combination of non-synthetic and its own, stabalized, synthetic tokens.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '28.1K']"
606,DAOHQ - elfDAO,"[' t.co/mpiVDbjB8s Discord  Twitter  Whitepaper ', ' t.co/mpiVDbjB8s', ' Discord ', ' Twitter ', ' Whitepaper ']","The first-ever Web3 toy drive 🎄🎁
 Here at elfDAO, we are elves - the workers, builders, and contributors of holiday cheer. We elves see the activity of gift-giving as one of the best ways to use our platform to share cheer to children. And we’re sick of seeing “Santa” never show up for children less fortunate.
That’s why we’ve created elfDAO - to fund, organize, and donate gifts to institutions, orphanages, and low-income neighborhood centers bring holiday joy to as many children as possible.
",[],[]
607,DAOHQ - Yearn Finance DAO,['Protocol'],"#DeFi made simple. Learn & Build: http://docs.yearn.finance Contribute @ Yearn: https://yearnfinance.notion.site/Join-Us-3e9c95b9bd7846a18c0f1cbe6ab05eda…
 Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides yield generation, lending aggregation, and more on the blockchain. The protocol is maintained by various independent developers and is governed by YFI holders.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '226.6K']"
608,DAOHQ - Dharma DAO,['DAO Tools'],"The Ethereum Wallet That Connects To Your Bank
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '42.2K']"
609,DAOHQ - ModaDAO,"['Entertainment', 'Collector', 'Social']","MODA is creating the tools, communities and infrastructure for the future of music.
","['For Loot And Glory', 'CronoSports', 'DragonMasterDAO', 'DeFi Dinos']",['2.4K']
610,DAOHQ - Informal Systems DAO,"['Protocol', 'Service']","Cooperatively owned organization building technology that enable verifiable, trustworthy, and fair relationships between protocols and people
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '6.1K']"
611,DAOHQ - DOOMSDAYX DAO,"[' www.doomsdayx.io Discord  Twitter ', ' www.doomsdayx.io', ' Discord ', ' Twitter ']","DOOMSDAYX is a platform for artists and fans, focused on redefining culture on-chain.
",[],['1.3K']
612,DAOHQ - Jade Protocol DAO,['0x7ad72...f6081'],"Jade Protocol is a decentralized PoL VC fund, backed by a perpetually rising price floor. Powered by Binance Smart Chain.
",[],['16.6K']
613,DAOHQ - GLMR APES DAO,"[' www.glmrapes.com Discord  Twitter ', ' www.glmrapes.com', ' Discord ', ' Twitter ']","1001 GLMR Apes caring about bananas and chilling out together on Glimmer. 1st SOLD-OUT NFT collection ever on MoonbeamNetwork.
",[],[]
614,DAOHQ - PlanckCat DAO,"[' overlay.market Discord  Twitter ', ' overlay.market', ' Discord ', ' Twitter ']","PlanckCat DAO is the community of contributors to Overlay Protocol, a community owned protocol for trading limitless markets.
",[],['4.0K']
615,DAOHQ - MetaBrands DAO,['Metaverse'],"Creating a thriving Metaverse Resource DAO that allows instant exposure to the top-performing NFTs, play-to-earn models, and player-owned economies
","['Bears Deluxe', 'BreederDAO', 'Adventure Gold', 'CabinDao']",[]
616,DAOHQ - Hungry Pandas DAO,['Collector'],"10000 pandas NFT collection
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '3.4K']"
617,DAOHQ - WizardsDAO,"[' wizardsdao.com Discord  Twitter ', ' wizardsdao.com', ' Discord ', ' Twitter ']","Our goals are to have fun, make homies, and proliferate the Wizards brand.
 WizardsDAO is a decentralized community of builders, artists, memers, and crypto enthusiasts. The Wizards create the future of the Wizards brand. Everything is up to them.
",[],['927.0']
618,DAOHQ - GCR DAO,['Service'],"Developing EU central banking blockchain protocols
 Gold Coin Reserve (GCR) is a tradable digital asset that is pinned to the price of 1 troy oz of gold. The GCR digital asset that sits at the core of the new GCR Network has a proof of stake function that allows wallet holders to mine the asset at a 10% annual return.
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '34.7K']"
619,DAOHQ - Abachi DAO,"['DeFi', 'DAO Tools']","Building the rails to bridge DeFi and TradFi
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['23.1K']
620,DAOHQ - Adamant DAO,['DeFi'],"The #1 Auto-Compounder and Yield Optimizer for  @0xPolygon  and  @arbitrum
 Adamant is a non-custodial yield optimizer platform that provides users with an easy and safe way to maximize their yield farming income.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Polygon', '6.2K']"
621,DAOHQ - Beacons DAO,"['DAO Tools', 'Social']","Mobile website builder for creators on Instagram and TikTok, with e-commerce and monetization
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '1.5K']"
622,DAOHQ - Ethereum Name Service DAO,"[' ens.domains', ' ens.domains']","Mapping human-readable names to machine-readable identifiers such as Ethereum addresses, other cryptocurrency addresses, content hashes, and metadata.
",[],[]
623,DAOHQ - KyberDAO,"['DeFi', 'Social']","A community platform that allows KNC token holders to participate in governance
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '15.2K']"
624,DAOHQ - Edge & Node DAO,['DAO Tools'],"Creating and supporting protocols and dapps in the DeFi and web3 ecosystem
","['88mph', 'APY Vision', '0x', '1inch Network']",['11.6K']
625,DAOHQ - Empty Set DAO,"['DeFi', 'Social']","Empty Set issues a decentralized, community-owned, collateral efficient stablecoin.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '5.9K']"
626,DAOHQ - Govrn DAO,['Social'],"Implement outcome based governing system
","['1Hive', '8DAO', '4k', 'ACryptoS']",['1.2K']
627,DAOHQ - Gro Protocol DAO,['DeFi'],"A stablecoin yield aggregator that tranches risk and yield
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '23.3K']"
