Unnamed: 0,Dao_title,categories,about,simdaos,chain,keyphrases,new_keyphrases
595,DAOHQ - Moonbeam DAO,['Protocol'],"Ethereum-compatible smart contracts on a Polkadot parachain
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '353.0K']",['ethereum' 'polkadot parachain' 'compatible smart contracts'],['Polkadot parachain' 'smart contracts']
596,DAOHQ - Guild DAO,['DAO Tools'],"No code tool for token-gated Discord
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '37.4K']",['discord' 'code tool'],['code tool']
597,DAOHQ - Gearbox DAO,"['Investment', 'DeFi']","Gearbox Protocol allows anyone to get leverage in a decentralized way and use it across various other protocols in a composable way: margin trading, leverage farming, and more!
 Unique features of Gearbox Protocol
Other protocols can offer leverage to their users with the help of Gearbox Protocol, without modifying anything in their own architecture. As such, they also get exposure to the user base of Gearbox.
Positions and trades within Credit Accounts can be extended to include complex strategies, for example, making a short position farm in Yearn; or having LP tokens as collateral for more composable actions.
The leverage offered is not based on synthetic positions but instead is executed with real assets on third-party protocols. Because Gearbox does not create its own trading pairs, there is no short-long ratio that needs to be maintained with funding rates.
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Ethereum', '14.8K']","['leverage' 'collateral' 'users' 'long ratio' 'trades' 'composable way'
 'real assets' 'exposure' 'anything' 'lp tokens' 'unique features'
 'decentralized way' 'margin trading' 'positions' 'example'
 'credit accounts' 'funding rates' 'leverage farming' 'user base'
 'gearbox' 'gearbox protocol' 'help' 'short position farm'
 'other protocols' 'yearn' 'anyone' 'party protocols' 'complex strategies'
 'composable actions' 'own trading pairs' 'various other protocols'
 'synthetic positions' 'own architecture']","['Credit Accounts' 'Gearbox' 'Gearbox Protocol' 'LP tokens'
 'leverage farming' 'margin trading' 'protocols' 'short position farm']"
598,DAOHQ - REtoken DAO,"[' discord.com/invite/hu93QMMcWS Discord  Twitter ', ' discord.com/invite/hu93QMMcWS', ' Discord ', ' Twitter ']","A community 1st approach to RealEstate Tokenization
",[],"['Polygon', '697.0']",['community 1st approach' 'realestate tokenization'],['RealEstate Tokenization']
599,DAOHQ - Stoner Cats DAO,"[' www.stonercats.com Twitter ', ' www.stonercats.com', ' Twitter ']","An adult animated short series centered on five house cats who mysteriously become sentient
",[],"['Ethereum', '33.1K']",['house cats' 'short series' 'adult' 'sentient'],['adult animated short series' 'house cats']
600,DAOHQ - SAFU.net (DAO) DAO,"['DeFi', 'Investment']","SAFU.NET aim is to bring a series of tools for the BSC ecosystem including a DEX, smart contract code scanner, liquidity lock and more.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']","['Binance', '5.0K']","['dex' 'series' 'safu.net' 'smart contract code scanner' 'bsc ecosystem'
 'tools' 'liquidity lock']",['BSC ecosystem' 'DEX' 'liquidity lock' 'smart contract code scanner']
601,DAOHQ - Frog Nation DAO,"[' frognationdao.com Discord  Twitter ', ' frognationdao.com', ' Discord ', ' Twitter ']","In $FRG We Trust.
",[],[],['frg we trust'],[]
602,DAOHQ - ZORA DAO,"['DAO Tools', 'Protocol']","The NFT marketplace protocol
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '94.0K']",['nft marketplace protocol'],['NFT marketplace protocol']
603,DAOHQ - xDAI DAO,['DeFi'],"Stable payments blockchain designed for fast and inexpensive transactions secured by $STAKE governance tokens
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '4.7K']",['stable payments' 'inexpensive transactions' 'stake governance tokens'],['$STAKE governance tokens' 'Stable payments blockchain']
604,DAOHQ - Neustreet DAO,['Media'],"Destination for media, data, and analytics on collectibles
","['Bears Deluxe', 'CabinDao', 'Ape Poo Club', 'Bankless DAO']","['Ethereum', '1.3K']",['collectibles' 'data' 'analytics' 'destination' 'media'],['collectibles']
605,DAOHQ - Inverse DAO,['Protocol'],"The Inverse protocol makes a lending-borrowing market that leverages its pooled liquidity accross DeFi via a combination of non-synthetic and its own, stabalized, synthetic tokens.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '28.1K']","['liquidity accross defi' 'combination' 'inverse protocol'
 'synthetic tokens' 'borrowing market' 'lending']",['DeFi' 'Inverse protocol' 'synthetic tokens']
606,DAOHQ - elfDAO,"[' t.co/mpiVDbjB8s Discord  Twitter  Whitepaper ', ' t.co/mpiVDbjB8s', ' Discord ', ' Twitter ', ' Whitepaper ']","The first-ever Web3 toy drive 🎄🎁
 Here at elfDAO, we are elves - the workers, builders, and contributors of holiday cheer. We elves see the activity of gift-giving as one of the best ways to use our platform to share cheer to children. And we’re sick of seeing “Santa” never show up for children less fortunate.
That’s why we’ve created elfDAO - to fund, organize, and donate gifts to institutions, orphanages, and low-income neighborhood centers bring holiday joy to as many children as possible.
",[],[],"['holiday cheer' 'workers' 'children' 'elves' 'giving' 'elfdao' 'gifts'
 'cheer' 'web3 toy drive' 'activity' 'gift' 'orphanages' 'platform'
 'contributors' '🎁' 'holiday joy' 'many children' 'fund'
 'income neighborhood centers' 'santa' 'builders' 'institutions'
 'best ways']",['Web3 toy drive' 'elfDAO' 'holiday cheer' 'orphanages']
607,DAOHQ - Yearn Finance DAO,['Protocol'],"#DeFi made simple. Learn & Build: http://docs.yearn.finance Contribute @ Yearn: https://yearnfinance.notion.site/Join-Us-3e9c95b9bd7846a18c0f1cbe6ab05eda…
 Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides yield generation, lending aggregation, and more on the blockchain. The protocol is maintained by various independent developers and is governed by YFI holders.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '226.6K']","['yearn' 'suite' 'build' 'decentralized finance' 'blockchain'
 'various independent developers' 'yfi holders' 'yearn finance'
 'https://yearnfinance.notion.site/join-us-3e9c95b9bd7846a18c0f1cbe6ab05eda …'
 'yield generation' 'protocol' 'defi'
 'http://docs.yearn.finance contribute' 'lending aggregation' 'learn'
 'products']","['Decentralized Finance' 'Yearn Finance' 'blockchain'
 'lending aggregation' 'yield generation']"
608,DAOHQ - Dharma DAO,['DAO Tools'],"The Ethereum Wallet That Connects To Your Bank
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '42.2K']",['bank' 'ethereum wallet'],['Ethereum Wallet']
609,DAOHQ - ModaDAO,"['Entertainment', 'Collector', 'Social']","MODA is creating the tools, communities and infrastructure for the future of music.
","['For Loot And Glory', 'CronoSports', 'DragonMasterDAO', 'DeFi Dinos']",['2.4K'],['infrastructure' 'music' 'communities' 'tools' 'moda' 'future'],['MODA']
610,DAOHQ - Informal Systems DAO,"['Protocol', 'Service']","Cooperatively owned organization building technology that enable verifiable, trustworthy, and fair relationships between protocols and people
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '6.1K']","['people' 'protocols' 'organization building technology'
 'fair relationships']",['Cooperatively owned organization' 'protocols' 'trustworthy']
611,DAOHQ - DOOMSDAYX DAO,"[' www.doomsdayx.io Discord  Twitter ', ' www.doomsdayx.io', ' Discord ', ' Twitter ']","DOOMSDAYX is a platform for artists and fans, focused on redefining culture on-chain.
",[],['1.3K'],['artists' 'fans' 'culture' 'chain' 'platform' 'doomsdayx'],['DOOMSDAYX']
612,DAOHQ - Jade Protocol DAO,['0x7ad72...f6081'],"Jade Protocol is a decentralized PoL VC fund, backed by a perpetually rising price floor. Powered by Binance Smart Chain.
",[],['16.6K'],['jade protocol' 'binance smart chain' 'pol vc fund' 'price floor'],['Binance Smart Chain' 'Jade Protocol' 'decentralized PoL VC fund']
613,DAOHQ - GLMR APES DAO,"[' www.glmrapes.com Discord  Twitter ', ' www.glmrapes.com', ' Discord ', ' Twitter ']","1001 GLMR Apes caring about bananas and chilling out together on Glimmer. 1st SOLD-OUT NFT collection ever on MoonbeamNetwork.
",[],[],"['glimmer' 'bananas' 'glmr apes' 'nft collection' '1st sold'
 'moonbeamnetwork']",['GLMR' 'MoonbeamNetwork']
614,DAOHQ - PlanckCat DAO,"[' overlay.market Discord  Twitter ', ' overlay.market', ' Discord ', ' Twitter ']","PlanckCat DAO is the community of contributors to Overlay Protocol, a community owned protocol for trading limitless markets.
",[],['4.0K'],"['community' 'protocol' 'contributors' 'overlay protocol'
 'limitless markets' 'planckcat dao']",['Overlay Protocol' 'PlanckCat' 'protocol']
615,DAOHQ - MetaBrands DAO,['Metaverse'],"Creating a thriving Metaverse Resource DAO that allows instant exposure to the top-performing NFTs, play-to-earn models, and player-owned economies
","['Bears Deluxe', 'BreederDAO', 'Adventure Gold', 'CabinDao']",[],"['player' 'metaverse resource dao' 'earn models' 'economies'
 'instant exposure' 'nfts']",['Metaverse Resource DAO']
616,DAOHQ - Hungry Pandas DAO,['Collector'],"10000 pandas NFT collection
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '3.4K']",['nft collection'],[]
617,DAOHQ - WizardsDAO,"[' wizardsdao.com Discord  Twitter ', ' wizardsdao.com', ' Discord ', ' Twitter ']","Our goals are to have fun, make homies, and proliferate the Wizards brand.
 WizardsDAO is a decentralized community of builders, artists, memers, and crypto enthusiasts. The Wizards create the future of the Wizards brand. Everything is up to them.
",[],['927.0'],"['artists' 'memers' 'everything' 'wizards brand' 'wizards'
 'crypto enthusiasts' 'community' 'goals' 'wizardsdao' 'builders' 'fun'
 'homies' 'future']",['Wizards brand' 'WizardsDAO']
618,DAOHQ - GCR DAO,['Service'],"Developing EU central banking blockchain protocols
 Gold Coin Reserve (GCR) is a tradable digital asset that is pinned to the price of 1 troy oz of gold. The GCR digital asset that sits at the core of the new GCR Network has a proof of stake function that allows wallet holders to mine the asset at a 10% annual return.
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '34.7K']","['eu' 'protocols' 'gold' 'core' 'tradable digital asset' 'stake function'
 'proof' 'annual return' 'troy oz' '%' 'gold coin reserve' 'price'
 'central banking' 'gcr' 'digital asset' 'asset' 'new gcr network'
 'wallet holders']","['EU central banking blockchain protocols' 'GCR Network'
 'Gold Coin Reserve' 'digital asset' 'proof of stake function']"
619,DAOHQ - Abachi DAO,"['DeFi', 'DAO Tools']","Building the rails to bridge DeFi and TradFi
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['23.1K'],['rails' 'tradfi' 'defi'],['TradFi']
620,DAOHQ - Adamant DAO,['DeFi'],"The #1 Auto-Compounder and Yield Optimizer for  @0xPolygon  and  @arbitrum
 Adamant is a non-custodial yield optimizer platform that provides users with an easy and safe way to maximize their yield farming income.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Polygon', '6.2K']","['compounder' 'adamant' '@0xpolygon' 'yield optimizer' 'users'
 'yield farming income' '@arbitrum'
 'non - custodial yield optimizer platform' 'safe way' 'auto']",['Adamant' 'non-custodial yield optimizer' 'yield farming income']
621,DAOHQ - Beacons DAO,"['DAO Tools', 'Social']","Mobile website builder for creators on Instagram and TikTok, with e-commerce and monetization
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '1.5K']","['mobile website builder' 'tiktok' 'instagram' 'e - commerce'
 'monetization' 'creators']",['Instagram' 'Mobile website builder' 'TikTok']
622,DAOHQ - Ethereum Name Service DAO,"[' ens.domains', ' ens.domains']","Mapping human-readable names to machine-readable identifiers such as Ethereum addresses, other cryptocurrency addresses, content hashes, and metadata.
",[],[],"['metadata' 'readable names' 'ethereum addresses' 'machine'
 'content hashes' 'other cryptocurrency addresses' 'readable identifiers']","['Ethereum addresses' 'content hashes' 'cryptocurrency addresses'
 'metadata']"
623,DAOHQ - KyberDAO,"['DeFi', 'Social']","A community platform that allows KNC token holders to participate in governance
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '15.2K']",['knc' 'governance' 'community platform' 'holders'],['KNC token holders' 'community platform' 'governance']
624,DAOHQ - Edge & Node DAO,['DAO Tools'],"Creating and supporting protocols and dapps in the DeFi and web3 ecosystem
","['88mph', 'APY Vision', '0x', '1inch Network']",['11.6K'],['protocols' 'web3 ecosystem' 'defi' 'dapps'],['dapps' 'protocols' 'web3 ecosystem']
625,DAOHQ - Empty Set DAO,"['DeFi', 'Social']","Empty Set issues a decentralized, community-owned, collateral efficient stablecoin.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '5.9K']",['community' 'empty set issues' 'collateral efficient stablecoin'],['Empty Set' 'collateral efficient stablecoin']
626,DAOHQ - Govrn DAO,['Social'],"Implement outcome based governing system
","['1Hive', '8DAO', '4k', 'ACryptoS']",['1.2K'],['system' 'outcome'],['outcome based governing system']
627,DAOHQ - Gro Protocol DAO,['DeFi'],"A stablecoin yield aggregator that tranches risk and yield
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '23.3K']",['risk' 'stablecoin yield aggregator'],['stablecoin yield aggregator']
628,DAOHQ - Sneaky Vampire Syndicate DAO,['Social'],"A collection of 8,888 unique Sneaky Vampires living in the lair
 The Sneaky Vampire Syndicate (SVS), from its launch in 2021 has accomplished many great things, and even completed its first initial roadmap within 2 months from mint. We introduced staking into our ecosystem very early on into our NFT journey, and yielded those who staked $BLOOD as a reward for staking both their Vamps and Bats!
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '151.6K']","['many great things' 'mint' 'unique sneaky vampires' 'ecosystem' 'vamps'
 'sneaky vampire syndicate' 'svs' 'launch' 'lair' 'nft journey' 'months'
 'first initial roadmap' 'bats' 'reward' 'blood' 'collection']",['NFT journey' 'Sne' 'Sneaky Vampire Syndicate' 'staking']
629,DAOHQ - Spacemesh DAO,"['Protocol', 'Social']","Open-source programmable cryptocurrency
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '10.3K']",['source' 'programmable cryptocurrency'],[]
630,DAOHQ - BAYC DAO,['Collector'],"Collection of 10000 unique Bored Ape NFTs
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '1.2M']",['unique bored ape nfts' 'collection'],['Bored Ape NFTs']
631,DAOHQ - PartyDAO,['Service'],"PartyDAO is a community hub for web3 product building. It is currently focused on PartyBid - a tool for permissionless collective purchase, fractionalization and co-ownership of NFTs, already integrated with major NFT marketplaces.
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '29.0K']","['co - ownership' 'collective purchase' 'fractionalization' 'partydao'
 'tool' 'partybid' 'permissionless' 'major nft marketplaces'
 'community hub' 'nfts' 'web3 product building']","['NFT marketplaces' 'PartyBid' 'PartyDAO' 'community hub'
 'fractionalization' 'permissionless collective purchase']"
632,DAOHQ - The Sanctuary DAO,"['Service', 'Grant', 'Venture Capital', 'DAO Tools']","The Sanctuary is focused on developing solutions to the ethical and technical problems that plague the NFT ecosystem.
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']",['7.2K'],['sanctuary' 'technical problems' 'nft ecosystem' 'solutions'],['NFT ecosystem' 'Sanctuary']
633,DAOHQ - BakerySwap DAO,['DeFi'],"The 1st AMM+NFT exchange on Binance Smart Chain
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Binance', '415.5K']",['1st amm+nft exchange' 'binance smart chain'],['Binance Smart Chain']
634,DAOHQ - Chimp Club DAO,"[' chimp.bar Discord  Twitter ', ' chimp.bar', ' Discord ', ' Twitter ']","Chimp Club Treasury coordination. We will delete proposals that do not follow our guidelines.
",[],['30.0'],['proposals' 'guidelines' 'chimp club treasury coordination'],['Chimp Club Treasury coordination']
635,DAOHQ - RAW DAO,['Media'],"The web3.0 photography community for collectors, artists and builders
","['Bears Deluxe', 'CabinDao', 'Ape Poo Club', 'Bankless DAO']",['2.5K'],['collectors' 'web3.0 photography community' 'artists' 'builders'],[]
636,DAOHQ - OrangeDAO,"['Venture Capital', 'Investment', 'Protocol']","A DAO of Y Combinator alumni. We invest in the future of web3. Our 🍊’s name is Juicy Returns.
","['Audacity Fund', 'ForceDAO', 'Carib DAO', 'BuidlersTribe']","['Ethereum', '11.6K']",['🍊' 'name' 'dao' 'y combinator alumni' 'future' 'web3' 'juicy returns'],['Juicy Returns' 'Y Combinator alumni' 'web3']
637,DAOHQ - Polkadot DAO,"[' polkadot.network Twitter ', ' polkadot.network', ' Twitter ']","Making it easier than ever to create and connect decentralized applications, services, and institutions.
",[],[],['institutions' 'applications' 'services'],['decentralized applications']
638,DAOHQ - Sommelier Protocol DAO,"['Protocol', 'Media', 'Social']","The new Coprocessor for the Ethereum VM
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '25.5K']",['new coprocessor' 'ethereum vm'],['Coprocessor' 'Ethereum VM']
639,DAOHQ - Alchemix DAO,['Protocol'],"Spend and save at the same time. Leverage your wealth without risk of liquidation with a self-repaying loan. http://discord.com/invite/alchemix
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '77.5K']","['same time' 'liquidation' 'risk' 'loan' 'self' 'wealth'
 'http://discord.com/invite/alchemix']",[]
640,DAOHQ - CryptoChasers DAO,"[' www.cryptochasers.co Discord  Twitter ', ' www.cryptochasers.co', ' Discord ', ' Twitter ']","A DAO helping new Web3 projects and users grow. Decentralized blockchain activity information sharing and communicating platform.
",[],[],"['dao' 'blockchain activity information sharing' 'users'
 'communicating platform' 'new web3 projects']",['Decentralized blockchain activity information sharing' 'Web3 projects']
641,DAOHQ - FTWDAO,"['Collector', 'Social']","A global community of diverse talent and investors on a mission to find, fund and foster diverse founders. Join our founding membership http://ftwdao.com/nft
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']",['181.0'],"['fund' 'diverse talent' 'investors' 'foster diverse founders' 'mission'
 'global community' 'membership']",[]
642,DAOHQ - GnosisGuild DAO,"['DAO Tools', 'Social']","A keeper of the zodiac open standard for DAOs
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '6.9K']",['daos' 'open standard' 'zodiac' 'keeper'],['zodiac open standard']
643,DAOHQ - Universal Coffee DAO,['DeFi'],"Universal Coffee Coin (UCC) is the reward point for all the small businesses in the world
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['Polygon'],['universal coffee coin' 'small businesses' 'reward point' 'world' 'ucc'],['Universal Coffee Coin' 'reward point' 'small businesses']
644,DAOHQ - Anura DAO,"['DeFi', 'Protocol']","A community governed ecosystem building and incubating new Web3 apps
 We are focused on providing utility and opportunities for stable and consistent yield return for those who participate in our protocol. With a doxed development team and years of collective experience in traditional finance, decentralized finance, and the greater field of technology; we are primed for rapid development and long-term protocol growth.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Avalanche', '883.0']","['collective experience' 'finance' 'rapid development' 'utility'
 'development team' 'traditional finance' 'new web3' 'community'
 'ecosystem building' 'protocol' 'years' 'term protocol growth'
 'opportunities' 'consistent yield return' 'technology' 'greater field']","['Web3 apps' 'community governed ecosystem building'
 'decentralized finance' 'doxed development team' 'utility']"
645,DAOHQ - Ledger DAO,"[' www.ledger.com Twitter ', ' www.ledger.com', ' Twitter ']","We’re your secure gateway to the Web3 world.  The Nano S Plus and Nano X now come in a range of colors.
",[],[],['secure gateway' 'nano s plus' 'range' 'web3 world' 'nano x' 'colors'],['Nano S Plus' 'Nano X']
646,DAOHQ - ENTROPES DAO,['Collector'],"NFT collection
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '3.7K']",['nft collection'],['NFT collection']
647,DAOHQ - Phantasia DAO,"[' phantasia.app Discord  Twitter ', ' phantasia.app', ' Discord ', ' Twitter ']","Phantasia offers daily and season long fantasy sports contests all securely stored on the blockchain. Create or join in seconds, then get paid instantly when you win. All for zero fees. Know nothing about crypto or web3? No worries - skip the learning curve and focus on fantasy.
",[],['10.6K'],"['fantasy' 'season' 'web3' 'nothing' 'fees' 'learning curve' 'worries'
 'phantasia' 'crypto' 'blockchain' 'seconds'
 'long fantasy sports contests']",['Phantasia' 'blockchain' 'fantasy sports contests' 'web3']
648,DAOHQ - Etherminators DAO,"[' etherminators.com Discord  Twitter ', ' etherminators.com', ' Discord ', ' Twitter ']","TO INSPIRE PEOPLE AROUND THE WORLD TO FIGHT FOR A DECENTRALIZED, FREE AND OPEN DIGITAL FUTURE FOR EVERYONE.
",[],[],['people' 'everyone' 'decentralized' 'open digital future' 'world'],[]
649,DAOHQ - Agoric DAO,"['DAO Tools', 'DeFi']","A Proof-of-Stake chain utilizing secure JavaScript smart contracts to rapidly build and deploy DeFi.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '39.0K']",['stake chain' 'secure javascript' 'proof' 'defi' 'smart contracts'],['secure JavaScript smart contracts']
650,DAOHQ - AnimeLoot DAO,['Social'],"Our goal is to create an Isekai Anime led by the community!
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '12.8K']",['community' 'isekai anime' 'goal'],['Isekai Anime']
651,DAOHQ - DOMANI Governance DAO,['Investment'],"DOMANI is a crypto management protocol  that empowers anyone to mint, trade, redeem and provide liquidity on non-custodial oracle-less tokenized portfolios (XTFs)
 DOMANI is a democratized crypto management protocol that allows you to invest in multiple assets cheaply and easily. Everyone can invest in the best performing portfolios in crypto. If you can’t find one that suits you, create your own and start earning!
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Avalanche', '5.2K']","['multiple assets' 'trade' 'mint'
 'democratized crypto management protocol' 'anyone' 'xtfs' 'portfolios'
 'liquidity' 'everyone' 'domani' 'crypto' 'non - custodial oracle'
 'crypto management protocol' 'one']","['DOMANI' 'crypto management protocol'
 'democratized crypto management protocol' 'liquidity']"
652,DAOHQ - Open Shards Alliance DAO,"[' openshards.io Discord  Twitter ', ' openshards.io', ' Discord ', ' Twitter ']","A community validator guild in NEAR ecosystem.
 The OSA is a guild of NEAR enthusiasts comprised of professional validators and StakeWars participants that are dedicated to contribute back to the NEAR ecosystem.
",[],['2.2K'],"['guild' 'near enthusiasts' 'near ecosystem' 'osa'
 'community validator guild' 'professional validators'
 'stakewars participants']",['NEAR' 'NEAR ecosystem' 'OSA' 'StakeWars' 'community validator guild']
653,DAOHQ - Magnet DAO,['Investment'],"Magnet DAO is developing an advanced crypto incubator — the goal is simple: cultivate, incubate, and invest.
 
Magnet is an investment, incubation, and build guild. Our token is backed by our
treasury, which we use to build yield on. In addition, 10% of all funds we raise
are used for our innovation fund. This fund is used to invest in, help incubate,
and build innovative new projects. The return on this is then returned to our
MAG token holders.
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Avalanche', '15.1K']","['treasury' 'addition' '%' 'yield' 'return' 'guild' 'investment'
 'innovation fund' 'magnet' 'funds' 'magnet dao' 'holders' 'token' 'mag'
 'cultivate' 'fund' 'innovative new projects' 'goal' 'incubation'
 'advanced crypto incubator']",['Magnet DAO' 'crypto incubator']
654,DAOHQ - Upstream DAO,"['DAO Tools', 'Service']","The easiest way to start a DAO | Upstream Collectives are a no-code, full-stack, DAO-in-a-box
 The simplest way to start and manage a DAO. Upstream Collectives support all of the essential functions of a DAO, in one easy-to-use platform that requires no technical experience.
","['88mph', 'APY Vision', '0x', '1inch Network']",['Ethereum'],"['code' 'dao' 'dao | upstream collectives' 'technical experience'
 'essential functions' 'stack' 'use platform' 'simplest way' 'box'
 'easiest way' 'upstream collectives']",['Upstream Collectives']
655,DAOHQ - Blank Foundation DAO,"[' blank.foundation Discord  Twitter ', ' blank.foundation', ' Discord ', ' Twitter ']","Blank is a community art gallery made of 10,000 Blank NFT canvases. You can evolve your Blank NFTs by combining and/or uploading art.
",[],['1.5K'],['blank' 'blank nft canvases' 'art' 'blank nfts' 'community art gallery'],['community art gallery']
656,DAOHQ - WORLDWIDE WEBB3 DAO,"['Gaming', 'Metaverse']","The pixel art metaverse
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '26.8K']",['pixel art metaverse'],['pixel art metaverse']
657,DAOHQ - Landshare DAO,['Investment'],"Offers tokenized real estate assets on the Binance Smart Chain
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Binance', '49.6K']",['real estate assets' 'binance smart chain'],['Binance Smart Chain' 'tokenized real estate assets']
658,DAOHQ - The WizarDAO,"[' www.pixanft.com Discord  Twitter  Whitepaper ', ' www.pixanft.com', ' Discord ', ' Twitter ', ' Whitepaper ']","New decentralized autonomous organization that can directly influence the PixaLyfe ecosystem
",[],"['Ethereum', '1.1K']",['autonomous organization' 'pixalyfe ecosystem'],['PixaLyfe ecosystem' 'decentralized autonomous organization']
659,DAOHQ - DarkstarDAO,"['Social', 'Media']","If you’re off the bus in the first place — then it won’t make a damn.
 DAO thought leader hosting a moving community bus
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '2.1K']",['first place' 'dao' 'community bus' 'damn' 'bus' 'leader'],['moving community bus']
660,DAOHQ - Premia DAO,"['DAO Tools', 'DeFi']","Decentralized Options Protocol
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '29.0K']",['decentralized options protocol'],['Decentralized Options Protocol']
661,DAOHQ - JonesDAO,['DeFi'],"One-click vaults that enable institutional-grade options strategies.
Unlock liquidity and capital efficiency for DeFi options with vault-backed jAssets.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['10.1K'],"['click vaults' 'jassets' 'capital efficiency' 'grade options strategies'
 'vault' 'unlock liquidity' 'defi options']",['DeFi options' 'capital efficiency']
662,DAOHQ - BreederDAO,"['Gaming', 'Metaverse']","BreederDAO is the NFT asset factory of blockchain games. We provide high-volume asset production, tailored to specification, for some of the largest guilds in the Metaverse so they can supercharge their Play-To-Earn economies.
 A specialist manufacturer of high-quality digital assets used in blockchain-based games and virtual worlds.
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '103.4K']","['metaverse' 'volume asset production' 'blockchain games' 'quality'
 'largest guilds' 'play' 'games' 'virtual worlds'
 'specialist manufacturer' 'specification' 'earn economies' 'blockchain'
 'nft asset factory' 'digital assets' 'breederdao']",['BreederDAO' 'NFT asset factory' 'blockchain games' 'virtual worlds']
663,DAOHQ - Witch Token DAO,"['Entertainment', 'Collector']","A step closer to a thriving metaverse economy through NFTs
 With a mission to bridge the gap between the physical world and the metaverse, WITCH is set out to offer a dynamic range of products that will add special value to the lives of future denizens of the metaverse.
","['For Loot And Glory', 'CronoSports', 'DragonMasterDAO', 'DeFi Dinos']",['4.5K'],"['metaverse' 'witch' 'dynamic range' 'special value' 'future denizens'
 'mission' 'metaverse economy' 'physical world' 'lives' 'nfts' 'gap'
 'products' 'step']",['WITCH' 'metaverse economy']
